window_start_min,window_end_min,n_at_risk,events_in_window,empirical_conditional_prob,poisson_conditional_prob,refractory_ratio,lower_tail_pvalue
0.0,60.0,47,7,0.14893617021276595,0.1773918429231608,0.8395886065475924,0.3869
10.0,70.0,46,6,0.13043478260869565,0.1773918429231608,0.7352918852373325,0.26825
20.0,80.0,46,8,0.17391304347826086,0.1773918429231608,0.9803891803164433,0.56855
30.0,90.0,45,9,0.2,0.1773918429231608,1.1274475573639098,0.73195
40.0,100.0,41,7,0.17073170731707318,0.1773918429231608,0.9624552318960207,0.55425
50.0,110.0,41,7,0.17073170731707318,0.1773918429231608,0.9624552318960207,0.5527
60.0,120.0,40,6,0.15,0.1773918429231608,0.8455856680229323,0.4205
70.0,130.0,40,7,0.175,0.1773918429231608,0.986516612693421,0.58435
80.0,140.0,38,6,0.15789473684210525,0.1773918429231608,0.8900901768662445,0.47905
90.0,150.0,36,5,0.1388888888888889,0.1773918429231608,0.7829496926138263,0.3594
100.0,160.0,34,4,0.11764705882352941,0.1773918429231608,0.6632044455081822,0.2527
110.0,170.0,34,7,0.20588235294117646,0.1773918429231608,1.1606077796393188,0.75525
120.0,180.0,34,7,0.20588235294117646,0.1773918429231608,1.1606077796393188,0.7528
130.0,190.0,33,6,0.18181818181818182,0.1773918429231608,1.0249523248762817,0.63155
140.0,200.0,32,6,0.1875,0.1773918429231608,1.0569820850286653,0.66065
150.0,210.0,31,5,0.16129032258064516,0.1773918429231608,0.9092319010999272,0.52625
160.0,220.0,30,4,0.13333333333333333,0.1773918429231608,0.7516317049092732,0.3596
170.0,230.0,27,3,0.1111111111111111,0.1773918429231608,0.6263597540910609,0.26775
180.0,240.0,27,4,0.14814814814814814,0.1773918429231608,0.8351463387880813,0.469
190.0,250.0,27,4,0.14814814814814814,0.1773918429231608,0.8351463387880813,0.46285
200.0,260.0,26,3,0.11538461538461539,0.1773918429231608,0.6504505138637942,0.29705
210.0,270.0,26,5,0.19230769230769232,0.1773918429231608,1.0840841897729903,0.6902
220.0,280.0,26,6,0.23076923076923078,0.1773918429231608,1.3009010277275883,0.8361
230.0,290.0,24,4,0.16666666666666666,0.1773918429231608,0.9395396311365914,0.57575
240.0,300.0,23,3,0.13043478260869565,0.1773918429231608,0.7352918852373325,0.39345
250.0,310.0,23,4,0.17391304347826086,0.1773918429231608,0.9803891803164433,0.60755
260.0,320.0,23,5,0.21739130434782608,0.1773918429231608,1.225486475395554,0.78925
270.0,330.0,21,4,0.19047619047619047,0.1773918429231608,1.0737595784418188,0.69255
280.0,340.0,20,3,0.15,0.1773918429231608,0.8455856680229323,0.5123
290.0,350.0,20,3,0.15,0.1773918429231608,0.8455856680229323,0.5136
300.0,360.0,20,3,0.15,0.1773918429231608,0.8455856680229323,0.50945
