data,date,time,alertDate,category,category_desc,matrix_id,rid
Shlomi,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465422
Shomera,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465421
Rosh HaNikra,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465420
Arab al-Aramshe,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465419
Ein Yacov,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465418
Avdon,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465417
Neveh Ziv,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465416
Metzuba,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465415
Manot,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465414
Lehman,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465413
Ya'ara,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465412
Hanita,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465411
Betzet Beach,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465410
Zarit,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465409
Gornot HaGalil,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465408
Goren,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465407
Betzet,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465406
Eilon,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465405
Milouot Industrial Zone North,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465404
Idmit,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465403
Even Menachem,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465402
Mi'ilya,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465401
Hila,2026-03-12,13:42:06.0,2026-03-12T13:42:00.0,13,The event has ended,10,465400
Shomera,2026-03-12,13:38:22.0,2026-03-12T13:38:00.0,2,Hostile aircraft intrusion,6,465399
