window_start_min,window_end_min,n_at_risk,events_in_window,empirical_conditional_prob,poisson_conditional_prob,refractory_ratio,lower_tail_pvalue
0.0,60.0,90,30,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.98915
10.0,70.0,83,24,0.2891566265060241,0.23238727219454414,1.2442877089411128,0.91185
20.0,80.0,76,21,0.27631578947368424,0.23238727219454414,1.1890315113401095,0.8532
30.0,90.0,70,17,0.24285714285714285,0.23238727219454414,1.045053546021375,0.64525
40.0,100.0,64,15,0.234375,0.23238727219454414,1.0085535140831285,0.5877
50.0,110.0,63,15,0.23809523809523808,0.23238727219454414,1.024562300020956,0.61205
60.0,120.0,60,12,0.2,0.23238727219454414,0.8606323320176031,0.33825
70.0,130.0,59,13,0.22033898305084745,0.23238727219454414,0.9481542640871897,0.4858
80.0,140.0,55,11,0.2,0.23238727219454414,0.8606323320176031,0.3569
90.0,150.0,53,10,0.18867924528301888,0.23238727219454414,0.8119172943562294,0.28125
100.0,160.0,49,8,0.16326530612244897,0.23238727219454414,0.7025570057286555,0.16505
110.0,170.0,48,11,0.22916666666666666,0.23238727219454414,0.98614121377017,0.56065
120.0,180.0,48,11,0.22916666666666666,0.23238727219454414,0.98614121377017,0.56065
130.0,190.0,46,9,0.1956521739130435,0.23238727219454414,0.8419229334954813,0.34885
140.0,200.0,44,9,0.20454545454545456,0.23238727219454414,0.8801921577452759,0.4055
150.0,210.0,43,8,0.18604651162790697,0.23238727219454414,0.8005882158303284,0.29875
160.0,220.0,41,6,0.14634146341463414,0.23238727219454414,0.6297309746470265,0.12615
170.0,230.0,37,4,0.10810810810810811,0.23238727219454414,0.4652066659554611,0.04845
180.0,240.0,37,5,0.13513513513513514,0.23238727219454414,0.5815083324443264,0.1096
190.0,250.0,37,5,0.13513513513513514,0.23238727219454414,0.5815083324443264,0.1093
200.0,260.0,35,3,0.08571428571428572,0.23238727219454414,0.3688424280075442,0.026
210.0,270.0,35,6,0.17142857142857143,0.23238727219454414,0.7376848560150884,0.2636
220.0,280.0,35,7,0.2,0.23238727219454414,0.8606323320176031,0.4173
230.0,290.0,33,5,0.15151515151515152,0.23238727219454414,0.6519941909224266,0.18785
240.0,300.0,32,4,0.125,0.23238727219454414,0.537895207511002,0.1042
250.0,310.0,32,7,0.21875,0.23238727219454414,0.9413166131442533,0.51805
260.0,320.0,32,8,0.25,0.23238727219454414,1.075790415022004,0.68675
270.0,330.0,29,7,0.2413793103448276,0.23238727219454414,1.0386941938143486,0.643
280.0,340.0,28,6,0.21428571428571427,0.23238727219454414,0.9221060700188604,0.51565
290.0,350.0,28,6,0.21428571428571427,0.23238727219454414,0.9221060700188604,0.51575
300.0,360.0,28,6,0.21428571428571427,0.23238727219454414,0.9221060700188604,0.5158
310.0,370.0,25,3,0.12,0.23238727219454414,0.5163793992105618,0.1387
320.0,380.0,24,2,0.08333333333333333,0.23238727219454414,0.3585968050073346,0.0612
330.0,390.0,22,2,0.09090909090909091,0.23238727219454414,0.39119651455345594,0.08425
340.0,400.0,22,3,0.13636363636363635,0.23238727219454414,0.5867947718301838,0.2107
350.0,410.0,22,4,0.18181818181818182,0.23238727219454414,0.7823930291069119,0.3966
360.0,420.0,22,4,0.18181818181818182,0.23238727219454414,0.7823930291069119,0.3985
370.0,430.0,22,5,0.22727272727272727,0.23238727219454414,0.9779912863836397,0.59605
380.0,440.0,22,5,0.22727272727272727,0.23238727219454414,0.9779912863836397,0.5947
390.0,450.0,20,5,0.25,0.23238727219454414,1.075790415022004,0.68545
400.0,460.0,19,4,0.21052631578947367,0.23238727219454414,0.9059287705448452,0.53995
410.0,470.0,18,4,0.2222222222222222,0.23238727219454414,0.9562581466862256,0.58745
420.0,480.0,18,4,0.2222222222222222,0.23238727219454414,0.9562581466862256,0.5911
430.0,490.0,17,3,0.17647058823529413,0.23238727219454414,0.7593814694272969,0.4146
440.0,500.0,17,3,0.17647058823529413,0.23238727219454414,0.7593814694272969,0.42075
450.0,510.0,15,1,0.06666666666666667,0.23238727219454414,0.2868774440058677,0.1074
460.0,520.0,15,2,0.13333333333333333,0.23238727219454414,0.5737548880117354,0.28675
470.0,530.0,14,1,0.07142857142857142,0.23238727219454414,0.3073686900062868,0.1279
480.0,540.0,14,1,0.07142857142857142,0.23238727219454414,0.3073686900062868,0.1284
490.0,550.0,14,2,0.14285714285714285,0.23238727219454414,0.6147373800125736,0.3367
500.0,560.0,14,3,0.21428571428571427,0.23238727219454414,0.9221060700188604,0.5824
510.0,570.0,14,3,0.21428571428571427,0.23238727219454414,0.9221060700188604,0.5832
520.0,580.0,13,4,0.3076923076923077,0.23238727219454414,1.3240497415655432,0.83535
530.0,590.0,13,4,0.3076923076923077,0.23238727219454414,1.3240497415655432,0.83905
540.0,600.0,13,5,0.38461538461538464,0.23238727219454414,1.655062176956929,0.94185
550.0,610.0,12,4,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.87815
560.0,620.0,11,3,0.2727272727272727,0.23238727219454414,1.1735895436603676,0.7566
570.0,630.0,11,3,0.2727272727272727,0.23238727219454414,1.1735895436603676,0.76055
580.0,640.0,9,3,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.86385
590.0,650.0,9,3,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.86305
600.0,660.0,8,3,0.375,0.23238727219454414,1.6136856225330056,0.9093
610.0,670.0,8,3,0.375,0.23238727219454414,1.6136856225330056,0.91155
620.0,680.0,8,4,0.5,0.23238727219454414,2.151580830044008,0.97815
630.0,690.0,8,4,0.5,0.23238727219454414,2.151580830044008,0.9799
640.0,700.0,6,2,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.85765
650.0,710.0,6,2,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.8575
660.0,720.0,5,1,0.2,0.23238727219454414,0.8606323320176031,0.67425
670.0,730.0,5,1,0.2,0.23238727219454414,0.8606323320176031,0.67065
680.0,740.0,4,0,0.0,0.23238727219454414,0.0,0.3481
690.0,750.0,4,1,0.25,0.23238727219454414,1.075790415022004,0.76905
700.0,760.0,4,1,0.25,0.23238727219454414,1.075790415022004,0.7663
710.0,770.0,4,1,0.25,0.23238727219454414,1.075790415022004,0.7716
720.0,780.0,4,1,0.25,0.23238727219454414,1.075790415022004,0.7661
730.0,790.0,4,1,0.25,0.23238727219454414,1.075790415022004,0.76835
740.0,800.0,4,1,0.25,0.23238727219454414,1.075790415022004,0.7737
750.0,810.0,3,0,0.0,0.23238727219454414,0.0,0.4465
760.0,820.0,3,0,0.0,0.23238727219454414,0.0,0.45955
770.0,830.0,3,0,0.0,0.23238727219454414,0.0,0.45565
780.0,840.0,3,0,0.0,0.23238727219454414,0.0,0.4448
790.0,850.0,3,0,0.0,0.23238727219454414,0.0,0.4574
800.0,860.0,3,0,0.0,0.23238727219454414,0.0,0.4513
810.0,870.0,3,0,0.0,0.23238727219454414,0.0,0.44735
820.0,880.0,3,0,0.0,0.23238727219454414,0.0,0.45575
830.0,890.0,3,1,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.86145
840.0,900.0,3,1,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.865
850.0,910.0,3,1,0.3333333333333333,0.23238727219454414,1.4343872200293384,0.86835
860.0,920.0,3,2,0.6666666666666666,0.23238727219454414,2.8687744400586768,0.98695
870.0,930.0,3,2,0.6666666666666666,0.23238727219454414,2.8687744400586768,0.9871
880.0,940.0,3,2,0.6666666666666666,0.23238727219454414,2.8687744400586768,0.9884
890.0,950.0,2,1,0.5,0.23238727219454414,2.151580830044008,0.94705
900.0,960.0,2,1,0.5,0.23238727219454414,2.151580830044008,0.94325
910.0,970.0,2,1,0.5,0.23238727219454414,2.151580830044008,0.945
920.0,980.0,1,0,0.0,0.23238727219454414,0.0,0.76395
930.0,990.0,1,0,0.0,0.23238727219454414,0.0,0.77295
940.0,1000.0,1,0,0.0,0.23238727219454414,0.0,0.77115
950.0,1010.0,1,0,0.0,0.23238727219454414,0.0,0.76675
960.0,1020.0,1,0,0.0,0.23238727219454414,0.0,0.7674
970.0,1030.0,1,0,0.0,0.23238727219454414,0.0,0.76345
980.0,1040.0,1,0,0.0,0.23238727219454414,0.0,0.7697
990.0,1050.0,1,0,0.0,0.23238727219454414,0.0,0.7618
1000.0,1060.0,1,0,0.0,0.23238727219454414,0.0,0.76165
1010.0,1070.0,1,0,0.0,0.23238727219454414,0.0,0.76325
1020.0,1080.0,1,0,0.0,0.23238727219454414,0.0,0.76365
1030.0,1090.0,1,0,0.0,0.23238727219454414,0.0,0.76805
1040.0,1100.0,1,0,0.0,0.23238727219454414,0.0,0.7707
1050.0,1110.0,1,0,0.0,0.23238727219454414,0.0,0.76285
1060.0,1120.0,1,0,0.0,0.23238727219454414,0.0,0.76575
1070.0,1130.0,1,0,0.0,0.23238727219454414,0.0,0.77
1080.0,1140.0,1,0,0.0,0.23238727219454414,0.0,0.7702
1090.0,1150.0,1,0,0.0,0.23238727219454414,0.0,0.768
1100.0,1160.0,1,0,0.0,0.23238727219454414,0.0,0.7697
